Q (1/A)	 Ref	 dRef (SD)	 dq(FWHM, 1/A)
0.0487	 0.000130725	 1.17227e-05	 0.00264376
0.0487472	 0.000136385	 1.20072e-05	 0.00263534
0.0506719	 9.10654e-05	 1.03589e-05	 0.00275138
0.050703	 0.000110044	 8.93952e-06	 0.00274199
0.0527239	 9.83315e-05	 1.05514e-05	 0.00286342
0.052739	 8.42121e-05	 6.65695e-06	 0.00285307
0.0548584	 6.67282e-05	 5.31557e-06	 0.00296874
0.0548593	 7.68604e-05	 1.06846e-05	 0.00298008
0.0570644	 5.75045e-05	 4.5044e-06	 0.00308921
0.0570814	 4.99626e-05	 9.55313e-06	 0.00310157
0.0593607	 3.68912e-05	 3.13598e-06	 0.00321467
0.0593937	 4.38024e-05	 1.00736e-05	 0.00322807
0.0617509	 2.95238e-05	 2.57585e-06	 0.00334535
0.0617999	 4.54495e-05	 1.05851e-05	 0.0033598
0.0642386	 2.47648e-05	 2.14847e-06	 0.00348147
0.0643038	 2.26133e-05	 1.17407e-05	 0.003497
0.0668279	 1.92313e-05	 1.78387e-06	 0.00362325
0.0669094	 1.50023e-05	 1.17363e-05	 0.00363989
0.0695229	 1.36045e-05	 1.33127e-06	 0.00377095
0.0696207	 1.50156e-05	 1.25117e-05	 0.00378873
0.0723278	 1.06947e-05	 1.1686e-06	 0.00392482
0.0752469	 8.47091e-06	 9.86242e-07	 0.00408512
0.0782851	 5.90126e-06	 7.58475e-07	 0.00425215
0.081447	 4.48727e-06	 6.63118e-07	 0.00442621
0.0847376	 5.98833e-06	 6.88415e-07	 0.00460759
0.0881623	 3.80625e-06	 5.16766e-07	 0.00479664
0.0917262	 4.49432e-06	 4.93253e-07	 0.0049937
0.0954352	 3.97643e-06	 4.48978e-07	 0.00519913
0.0992951	 3.62042e-06	 3.86856e-07	 0.00541332
0.103312	 3.58624e-06	 3.90532e-07	 0.00563667
0.107492	 2.79333e-06	 3.19947e-07	 0.00586962
0.111842	 3.24543e-06	 3.31527e-07	 0.00611262
0.116369	 3.16129e-06	 2.99739e-07	 0.00636615
0.12108	 2.9873e-06	 2.80384e-07	 0.00663072
0.125982	 2.763e-06	 2.79383e-07	 0.00690687
0.131083	 2.89711e-06	 2.45041e-07	 0.00719516
0.136392	 2.70492e-06	 2.51992e-07	 0.00749622
0.141916	 2.56414e-06	 2.27866e-07	 0.00781069
0.147665	 1.89407e-06	 1.94689e-07	 0.00813927
0.153647	 1.96674e-06	 2.01125e-07	 0.00848268
0.159872	 1.73795e-06	 1.88932e-07	 0.00884172
0.166349	 1.64914e-06	 1.84181e-07	 0.00921722
0.17309	 1.44205e-06	 1.98401e-07	 0.0096101
0.180104	 1.4837e-06	 1.75936e-07	 0.0100213
0.187403	 1.05169e-06	 1.65067e-07	 0.0104519
0.194998	 9.69578e-07	 1.66483e-07	 0.010903
0.202902	 7.99931e-07	 1.65001e-07	 0.0113757
0.211126	 4.2924e-07	 1.86226e-07	 0.0118715
0.219684	 5.11518e-07	 2.08024e-07	 0.0123916
0.228589	 6.71356e-07	 1.95633e-07	 0.0129375
0.237856	 4.26866e-07	 1.58621e-07	 0.013511
0.247499	 2.23824e-07	 1.65326e-07	 0.0141138
0.257532	 6.1101e-07	 1.9123e-07	 0.0147476
0.267973	 4.20096e-07	 1.98553e-07	 0.0154147
0.278838	 4.53034e-07	 1.62562e-07	 0.0161173
0.290143	 1.95641e-07	 1.7582e-07	 0.0168577
0.301907	 1.76203e-07	 2.29214e-07	 0.0176387
0.314149	 -1.13463e-07	 2.08337e-07	 0.018463
0.326887	 8.55152e-08	 2.06072e-07	 0.0193338
0.340142	 -1.34722e-07	 2.49979e-07	 0.0202546
